FIPS,County,State,Civilian NonInst Pop,Percent Any Difficulty,Percent TwoTypes,Percent Hearing difficulty, Percent Vision difficulty,Percent Cognitive difficulty,Percent Ambulatory difficulty, Percent Selfcare difficulty,Percent Independent living difficulty,R_Hearing Difficulty,R_Vision difficulty,R_Cognitive difficulty,R_Ambulatory difficulty,R_Selfcare difficulty,R_Independent living difficulty,R_Overall disability
13169,Jones County, Georgia,28298,15.59,8.22,4.35,2.52,6.58,9.41,3.37,5.93,0.37,0.43,0.72,0.68,0.71,0.68,0.51
13171,Lamar County, Georgia,18417,16.00,7.60,5.14,3.24,6.50,8.61,3.25,5.14,0.56,0.66,0.71,0.58,0.67,0.53,0.55
13173,Lanier County, Georgia,9700,16.09,10.95,4.74,6.12,4.51,9.93,6.41,8.27,0.47,0.96,0.29,0.73,0.99,0.93,0.56
13175,Laurens County, Georgia,46528,14.30,6.99,3.83,4.05,5.04,7.42,2.70,5.33,0.24,0.81,0.42,0.41,0.48,0.56,0.39
13177,Lee County, Georgia,28446,11.57,4.69,3.22,2.18,5.51,4.65,2.16,2.77,0.12,0.30,0.52,0.07,0.26,0.06,0.15
13179,Liberty County, Georgia,55089,14.22,5.81,2.98,2.85,6.74,6.92,2.43,3.67,0.08,0.54,0.74,0.34,0.37,0.19,0.38
13181,Lincoln County, Georgia,7769,15.99,5.30,4.75,2.59,2.99,9.06,1.84,3.98,0.47,0.46,0.06,0.63,0.16,0.25,0.55
13183,Long County, Georgia,17822,16.99,6.85,4.62,2.79,6.17,8.64,2.72,5.49,0.44,0.52,0.65,0.58,0.49,0.59,0.63
13185,Lowndes County, Georgia,109929,11.20,4.96,3.30,2.51,4.06,5.71,2.21,3.78,0.13,0.42,0.21,0.18,0.29,0.21,0.13
13187,Lumpkin County, Georgia,32075,15.04,7.12,4.38,2.58,6.26,8.23,2.87,5.55,0.38,0.46,0.67,0.53,0.55,0.61,0.46
13189,McDuffie County, Georgia,21094,12.71,6.18,3.12,2.03,4.67,6.87,2.72,5.08,0.10,0.24,0.33,0.33,0.49,0.51,0.24
13191,McIntosh County, Georgia,14033,22.85,10.71,7.94,2.94,5.45,13.88,4.15,7.43,0.92,0.56,0.51,0.95,0.86,0.87,0.93
13193,Macon County, Georgia,11267,16.02,8.43,5.76,3.94,6.25,9.20,3.07,5.25,0.69,0.80,0.67,0.65,0.62,0.55,0.56
13195,Madison County, Georgia,29006,18.75,9.98,5.71,3.21,7.27,10.37,4.65,7.04,0.68,0.65,0.81,0.77,0.92,0.84,0.76
13197,Marion County, Georgia,8332,13.38,6.95,3.98,2.30,3.73,7.63,2.47,5.58,0.28,0.34,0.15,0.45,0.39,0.61,0.29
13199,Meriwether County, Georgia,21019,20.91,11.10,6.41,5.95,6.96,11.77,4.50,7.41,0.79,0.95,0.77,0.88,0.91,0.87,0.87
13201,Miller County, Georgia,5625,11.70,5.71,4.75,2.42,2.40,7.20,3.56,4.50,0.47,0.39,0.02,0.39,0.75,0.38,0.16
13205,Mitchell County, Georgia,19990,16.17,7.41,4.68,2.89,5.71,9.25,2.63,4.56,0.45,0.55,0.56,0.66,0.45,0.40,0.57
13207,Monroe County, Georgia,26086,16.31,7.92,4.27,3.51,5.87,8.11,3.18,5.62,0.34,0.71,0.60,0.52,0.65,0.62,0.58
13209,Montgomery County, Georgia,8583,17.10,6.82,3.70,2.77,7.06,8.35,2.55,5.01,0.22,0.51,0.79,0.55,0.42,0.50,0.64
13211,Morgan County, Georgia,18322,15.71,6.57,4.67,3.64,4.47,7.84,2.73,4.44,0.45,0.74,0.28,0.48,0.50,0.36,0.53
13213,Murray County, Georgia,39495,13.05,5.62,3.39,2.52,4.35,6.89,2.22,4.40,0.15,0.43,0.26,0.33,0.29,0.35,0.26
13215,Muscogee County, Georgia,185535,18.41,9.03,4.37,3.65,8.94,9.73,3.66,6.32,0.37,0.75,0.94,0.71,0.78,0.74,0.74
13217,Newton County, Georgia,107131,14.91,7.08,4.40,3.13,6.18,7.58,2.48,5.24,0.38,0.62,0.65,0.44,0.39,0.54,0.44
13219,Oconee County, Georgia,37924,9.72,4.33,3.72,1.21,3.13,4.20,1.43,2.53,0.22,0.03,0.07,0.04,0.06,0.04,0.06
13221,Oglethorpe County, Georgia,14802,15.81,7.37,4.61,2.99,4.88,8.32,2.87,5.06,0.44,0.58,0.38,0.55,0.55,0.51,0.54
13223,Paulding County, Georgia,158996,10.69,4.81,3.00,2.40,3.67,5.52,1.96,3.67,0.08,0.38,0.14,0.15,0.19,0.19,0.10
13225,Peach County, Georgia,27013,17.72,7.94,4.06,3.16,5.76,10.36,3.30,6.29,0.29,0.63,0.57,0.77,0.68,0.73,0.69
13227,Pickens County, Georgia,31090,17.79,7.29,6.19,4.32,5.43,8.46,2.23,4.48,0.76,0.84,0.51,0.56,0.29,0.37,0.69
13229,Pierce County, Georgia,19074,15.60,6.85,4.25,3.19,5.28,7.85,2.87,5.81,0.34,0.64,0.48,0.48,0.55,0.66,0.51
13231,Pike County, Georgia,18073,12.14,6.37,3.28,2.14,4.82,6.53,2.55,4.90,0.13,0.29,0.37,0.28,0.42,0.47,0.20
13233,Polk County, Georgia,41735,15.59,8.74,4.01,3.70,5.26,9.28,3.59,5.57,0.28,0.75,0.47,0.66,0.76,0.61,0.51
13235,Pulaski County, Georgia,9676,22.36,13.00,6.86,2.96,8.72,14.59,5.56,8.10,0.84,0.57,0.92,0.97,0.97,0.92,0.91
13237,Putnam County, Georgia,21488,15.35,6.39,5.54,4.14,4.93,7.55,2.84,4.40,0.65,0.82,0.39,0.43,0.54,0.35,0.49
13239,Quitman County, Georgia,2289,20.18,10.22,2.97,5.68,6.42,11.53,1.88,9.48,0.08,0.95,0.69,0.86,0.17,0.97,0.84
13241,Rabun County, Georgia,16407,21.21,10.25,5.50,3.75,6.59,13.15,4.91,7.80,0.65,0.77,0.72,0.93,0.94,0.90,0.88
13243,Randolph County, Georgia,6863,16.89,6.44,4.40,2.78,4.24,9.18,2.21,5.90,0.38,0.52,0.24,0.65,0.29,0.67,0.62
13245,Richmond County, Georgia,191532,17.05,8.79,3.68,3.49,6.99,9.66,3.83,6.77,0.21,0.71,0.78,0.70,0.81,0.80,0.64
13247,Rockdale County, Georgia,88912,10.62,4.99,2.92,2.14,3.63,5.52,2.19,3.91,0.07,0.29,0.14,0.16,0.27,0.24,0.10
13249,Schley County, Georgia,5221,17.03,7.47,4.88,2.66,5.71,8.37,2.99,6.40,0.51,0.48,0.56,0.55,0.59,0.75,0.64
13251,Screven County, Georgia,13591,15.94,9.42,3.54,2.74,6.14,9.93,4.43,7.09,0.18,0.51,0.65,0.73,0.90,0.84,0.55
13253,Seminole County, Georgia,8212,18.77,9.69,5.03,4.20,6.83,10.79,3.90,8.07,0.54,0.83,0.76,0.81,0.83,0.92,0.76
13255,Spalding County, Georgia,64205,15.01,6.89,3.64,2.31,6.05,8.16,2.24,4.92,0.20,0.35,0.63,0.53,0.30,0.47,0.45
13257,Stephens County, Georgia,25750,20.56,11.52,5.37,6.21,8.10,11.83,4.41,7.57,0.61,0.96,0.89,0.88,0.90,0.89,0.85
13259,Stewart County, Georgia,4081,21.49,10.17,6.35,7.23,8.70,10.56,3.06,6.98,0.78,0.98,0.92,0.79,0.61,0.83,0.89
13261,Sumter County, Georgia,29156,13.64,6.67,3.75,2.29,5.30,7.94,2.80,5.31,0.22,0.34,0.48,0.49,0.53,0.56,0.32
13263,Talbot County, Georgia,6302,17.07,9.76,6.03,4.47,5.79,9.95,4.74,7.11,0.73,0.86,0.58,0.73,0.93,0.85,0.64
13265,Taliaferro County, Georgia,1609,21.38,12.87,4.23,3.92,8.89,12.99,4.97,10.38,0.33,0.79,0.93,0.93,0.94,0.98,0.88
13267,Tattnall County, Georgia,19039,17.12,9.36,5.25,4.56,5.61,10.59,3.07,5.37,0.59,0.87,0.55,0.79,0.62,0.57,0.65
13269,Taylor County, Georgia,8046,19.16,9.62,5.24,5.07,4.08,10.73,3.63,7.00,0.59,0.91,0.21,0.80,0.77,0.83,0.78
13271,Telfair County, Georgia,12814,11.64,5.19,4.20,2.58,3.28,6.19,2.29,3.50,0.33,0.45,0.09,0.23,0.32,0.16,0.16
13273,Terrell County, Georgia,8379,14.27,6.37,3.34,3.09,4.93,7.22,3.34,5.11,0.14,0.61,0.39,0.39,0.70,0.52,0.38
13275,Thomas County, Georgia,44003,17.21,8.71,5.42,3.55,6.76,9.06,2.61,5.67,0.63,0.72,0.75,0.63,0.44,0.64,0.65
13277,Tift County, Georgia,40057,13.96,5.98,2.53,4.99,4.84,5.94,2.31,4.14,0.04,0.91,0.37,0.20,0.32,0.28,0.35
13279,Toombs County, Georgia,26722,17.67,9.98,3.96,3.64,7.88,10.04,4.15,6.54,0.27,0.74,0.87,0.74,0.86,0.77,0.69
13281,Towns County, Georgia,11440,17.62,9.22,6.86,4.46,6.08,8.58,2.77,6.27,0.84,0.86,0.63,0.58,0.51,0.73,0.68
13283,Treutlen County, Georgia,6454,21.29,10.26,5.16,4.74,7.98,14.12,2.79,6.00,0.57,0.88,0.88,0.96,0.52,0.69,0.88
13285,Troup County, Georgia,68479,16.92,9.25,4.63,4.67,6.75,9.37,3.73,6.50,0.44,0.88,0.74,0.67,0.79,0.76,0.63
13287,Turner County, Georgia,7650,17.91,9.32,6.18,7.02,4.16,7.75,2.58,6.39,0.75,0.98,0.23,0.46,0.43,0.75,0.70
13289,Twiggs County, Georgia,8166,19.59,10.10,5.60,5.38,8.61,11.08,3.64,7.30,0.66,0.93,0.91,0.83,0.77,0.86,0.80
13291,Union County, Georgia,22725,18.02,8.43,6.82,3.09,4.95,10.05,3.23,5.85,0.84,0.61,0.40,0.74,0.66,0.66,0.71
13293,Upson County, Georgia,25712,16.41,7.73,4.43,2.29,5.37,9.45,2.43,6.30,0.39,0.34,0.50,0.68,0.38,0.73,0.59
13295,Walker County, Georgia,67530,19.24,9.77,5.44,3.03,8.52,10.21,2.75,7.53,0.63,0.60,0.91,0.75,0.50,0.88,0.78
13297,Walton County, Georgia,90570,12.71,5.70,4.21,2.45,4.85,6.44,2.09,3.95,0.33,0.40,0.37,0.26,0.24,0.25,0.24
13299,Ware County, Georgia,33195,16.78,7.18,4.33,3.35,6.99,8.43,3.17,5.27,0.36,0.68,0.78,0.56,0.64,0.55,0.62
13301,Warren County, Georgia,5225,14.47,7.58,3.06,2.51,3.67,9.51,2.53,5.89,0.10,0.42,0.14,0.69,0.41,0.67,0.40
13303,Washington County, Georgia,18532,18.14,6.66,4.08,3.45,5.89,11.19,2.47,4.40,0.30,0.70,0.60,0.84,0.39,0.35,0.72
13305,Wayne County, Georgia,27735,14.85,7.13,4.07,2.54,5.52,8.40,3.10,5.00,0.30,0.44,0.53,0.56,0.63,0.49,0.44
13307,Webster County, Georgia,2606,15.73,8.75,5.10,4.26,6.18,8.71,2.84,4.68,0.55,0.84,0.65,0.59,0.54,0.43,0.53
13309,Wheeler County, Georgia,7706,12.89,7.58,1.76,1.26,5.44,9.49,2.47,6.35,0.00,0.03,0.51,0.69,0.39,0.74,0.25
13311,White County, Georgia,29310,18.88,9.99,8.26,4.54,5.89,9.92,2.84,6.49,0.94,0.87,0.60,0.73,0.54,0.76,0.77
13313,Whitfield County, Georgia,103393,10.91,5.29,3.05,2.15,3.31,5.82,2.27,3.85,0.09,0.29,0.09,0.19,0.31,0.23,0.11
13315,Wilcox County, Georgia,6746,14.36,6.14,3.81,2.45,4.30,8.48,2.61,4.37,0.24,0.40,0.25,0.56,0.44,0.34,0.39
13317,Wilkes County, Georgia,9754,16.59,7.21,4.32,3.22,4.05,10.98,2.85,4.65,0.36,0.65,0.21,0.83,0.54,0.42,0.60
13319,Wilkinson County, Georgia,8925,15.20,7.16,2.86,3.46,4.78,9.31,2.55,5.83,0.06,0.71,0.36,0.67,0.42,0.66,0.47
13321,Worth County, Georgia,20332,17.01,8.21,5.00,3.62,5.84,8.88,3.59,5.24,0.53,0.74,0.59,0.61,0.76,0.54,0.63
15001,Hawaii County, Hawaii,197924,14.60,7.24,5.36,2.79,5.88,7.22,2.64,5.47,0.61,0.52,0.60,0.39,0.46,0.59,0.41
15003,Honolulu County, Hawaii,935813,10.93,5.32,3.44,1.65,3.92,5.70,2.15,4.30,0.16,0.12,0.18,0.18,0.26,0.32,0.11
15005,Kalawao County, Hawaii,61,24.59,11.48,16.39,16.39,8.20,11.48,8.20,8.20,1.00,1.00,0.90,0.86,1.00,0.93,0.96
15007,Kauai County, Hawaii,71049,9.71,4.71,3.55,1.57,3.24,4.76,1.72,3.88,0.18,0.09,0.09,0.08,0.13,0.23,0.05
15009,Maui County, Hawaii,164492,9.63,4.28,3.54,1.60,3.16,4.79,1.97,3.23,0.18,0.10,0.08,0.08,0.20,0.11,0.05
16001,Ada County, Idaho,449074,10.26,4.70,3.42,1.84,4.15,4.43,2.00,3.56,0.16,0.17,0.23,0.06,0.21,0.17,0.08
16003,Adams County, Idaho,4072,21.07,10.85,9.21,4.32,7.49,10.14,2.53,7.00,0.97,0.85,0.84,0.75,0.41,0.83,0.87
16005,Bannock County, Idaho,84697,15.89,7.80,4.81,3.13,7.33,6.71,2.56,5.83,0.49,0.62,0.82,0.30,0.42,0.66,0.54
16007,Bear Lake County, Idaho,5962,14.21,6.57,4.85,3.12,4.91,6.68,1.98,4.26,0.50,0.62,0.39,0.30,0.20,0.31,0.37
16009,Benewah County, Idaho,9056,22.08,10.70,7.24,5.22,8.19,10.74,3.10,7.62,0.88,0.92,0.89,0.80,0.63,0.89,0.90
16011,Bingham County, Idaho,45590,15.83,7.33,5.55,3.04,6.30,7.88,2.73,4.22,0.65,0.60,0.68,0.48,0.50,0.30,0.54
16013,Blaine County, Idaho,22348,10.09,3.96,4.85,1.51,2.64,4.43,1.03,2.33,0.50,0.07,0.04,0.06,0.02,0.03,0.07
16015,Boise County, Idaho,7351,13.83,6.82,5.93,3.09,5.25,6.71,2.61,5.24,0.72,0.61,0.47,0.30,0.44,0.54,0.34
16017,Bonner County, Idaho,43326,16.48,7.59,5.62,2.26,6.09,8.15,3.04,5.34,0.67,0.33,0.64,0.52,0.61,0.57,0.59
16019,Bonneville County, Idaho,113366,14.37,6.71,4.36,3.20,6.49,6.05,2.80,4.46,0.37,0.64,0.70,0.21,0.53,0.37,0.39
16021,Boundary County, Idaho,11762,13.85,7.69,3.66,2.14,6.47,7.00,3.29,5.91,0.21,0.29,0.70,0.35,0.68,0.68,0.34
16023,Butte County, Idaho,2539,15.64,6.26,6.97,3.19,5.28,6.66,2.40,3.94,0.86,0.64,0.47,0.30,0.36,0.24,0.52
16025,Camas County, Idaho,1048,11.16,4.96,5.82,1.15,1.15,5.34,0.38,3.44,0.70,0.02,0.00,0.13,0.00,0.15,0.13
16027,Canyon County, Idaho,216118,14.62,6.56,4.55,2.47,6.30,6.45,2.37,4.50,0.42,0.41,0.68,0.26,0.35,0.38,0.42
16029,Caribou County, Idaho,6878,14.58,5.64,4.27,1.89,5.25,7.01,1.58,3.91,0.35,0.19,0.47,0.36,0.09,0.24,0.41
16031,Cassia County, Idaho,23371,14.03,5.92,4.98,2.55,4.42,7.25,1.63,3.71,0.53,0.44,0.27,0.39,0.10,0.20,0.36
16033,Clark County, Idaho,913,5.91,1.97,2.08,1.20,1.20,3.40,1.10,0.66,0.01,0.03,0.00,0.02,0.03,0.00,0.00
16035,Clearwater County, Idaho,7742,21.25,10.19,9.31,2.85,6.16,10.63,3.62,6.45,0.97,0.54,0.65,0.79,0.77,0.76,0.88
16037,Custer County, Idaho,4150,25.93,13.78,10.58,10.51,6.67,17.73,2.19,4.43,0.99,1.00,0.73,0.99,0.28,0.36,0.97
16039,Elmore County, Idaho,23992,14.19,5.05,5.25,2.74,4.83,6.11,1.83,3.63,0.59,0.50,0.37,0.22,0.16,0.19,0.37
16041,Franklin County, Idaho,13423,15.59,5.83,5.51,2.35,6.59,6.65,2.29,4.57,0.65,0.36,0.72,0.29,0.32,0.40,0.51
16043,Fremont County, Idaho,12468,14.63,5.69,4.87,1.62,5.07,6.10,2.70,4.22,0.50,0.11,0.42,0.22,0.48,0.30,0.42
16045,Gem County, Idaho,17205,20.66,9.71,6.66,3.38,8.26,11.35,4.14,6.74,0.82,0.69,0.90,0.85,0.86,0.80,0.85
16047,Gooding County, Idaho,15060,12.95,6.73,3.92,3.22,4.98,7.03,3.13,4.80,0.26,0.65,0.41,0.36,0.64,0.45,0.25
16049,Idaho County, Idaho,15831,23.23,10.13,11.00,4.36,6.83,11.68,3.93,6.12,0.99,0.85,0.76,0.87,0.83,0.71,0.93
16051,Jefferson County, Idaho,28513,10.27,3.77,3.89,2.40,3.60,3.71,1.45,2.81,0.25,0.38,0.13,0.02,0.07,0.07,0.08
16053,Jerome County, Idaho,23616,11.04,4.32,4.15,1.21,3.95,5.22,1.81,2.71,0.31,0.03,0.19,0.12,0.15,0.06,0.12
16055,Kootenai County, Idaho,156102,13.63,5.84,5.32,1.86,4.64,6.09,1.93,3.70,0.60,0.18,0.32,0.22,0.19,0.20,0.32
16057,Latah County, Idaho,39345,12.30,3.74,3.78,1.91,5.32,4.22,1.61,2.70,0.23,0.20,0.49,0.05,0.10,0.06,0.21
16059,Lemhi County, Idaho,7778,18.28,8.54,8.60,3.02,6.48,9.63,4.18,5.53,0.95,0.59,0.70,0.70,0.87,0.60,0.73
16061,Lewis County, Idaho,3809,25.75,12.50,10.97,6.14,9.35,13.68,5.36,7.09,0.99,0.96,0.95,0.95,0.97,0.84,0.97
16063,Lincoln County, Idaho,5295,14.07,6.99,5.08,3.55,4.61,6.99,1.95,5.06,0.55,0.72,0.32,0.35,0.19,0.51,0.36
16065,Madison County, Idaho,38903,8.44,2.91,2.04,1.62,3.51,2.94,1.17,1.84,0.01,0.11,0.12,0.01,0.03,0.01,0.02
16067,Minidoka County, Idaho,20655,14.48,5.67,5.34,2.41,4.82,6.42,2.21,3.72,0.61,0.39,0.36,0.26,0.28,0.20,0.40
16069,Nez Perce County, Idaho,39640,17.16,7.89,5.63,2.90,6.04,8.60,3.43,4.98,0.67,0.55,0.63,0.58,0.72,0.49,0.65
16071,Oneida County, Idaho,4356,17.98,10.84,4.91,2.43,8.17,11.02,4.87,6.82,0.51,0.40,0.89,0.83,0.94,0.81,0.71
16073,Owyhee County, Idaho,11448,17.88,7.47,6.29,4.77,4.85,8.03,2.96,5.93,0.77,0.89,0.37,0.50,0.58,0.68,0.70
16075,Payette County, Idaho,23106,17.04,6.85,5.92,3.77,5.47,7.23,2.40,3.28,0.72,0.77,0.52,0.39,0.36,0.13,0.64
16077,Power County, Idaho,7622,17.93,9.53,7.27,3.65,5.86,9.58,2.74,4.41,0.88,0.74,0.60,0.70,0.50,0.35,0.71
16079,Shoshone County, Idaho,12458,26.95,13.64,9.77,4.33,11.39,13.93,5.16,6.94,0.98,0.85,0.99,0.96,0.96,0.82,0.99
16081,Teton County, Idaho,11426,5.95,2.00,3.37,1.03,1.45,2.09,0.79,0.96,0.15,0.01,0.00,0.00,0.01,0.00,0.00
16083,Twin Falls County, Idaho,84069,13.68,6.15,3.93,2.34,5.32,7.00,2.45,4.42,0.26,0.36,0.48,0.35,0.38,0.35,0.32
16085,Valley County, Idaho,10624,15.68,6.14,7.37,2.26,3.93,8.01,1.43,3.12,0.89,0.33,0.19,0.50,0.06,0.09,0.52
16087,Washington County, Idaho,9961,20.02,9.88,8.26,4.69,6.90,9.63,3.30,5.63,0.94,0.88,0.77,0.70,0.68,0.62,0.83
17001,Adams County, Illinois,64844,14.64,6.50,4.61,2.71,5.22,7.12,2.32,4.37,0.43,0.50,0.46,0.38,0.33,0.34,0.42
17003,Alexander County, Illinois,6181,22.23,11.29,4.61,2.64,8.70,14.38,6.03,8.93,0.44,0.47,0.92,0.97,0.98,0.96,0.91
17005,Bond County, Illinois,15347,15.76,7.87,6.62,4.02,4.83,8.64,3.24,5.44,0.82,0.80,0.37,0.58,0.67,0.58,0.53
17007,Boone County, Illinois,53129,11.53,5.32,2.47,2.50,4.17,5.11,1.80,4.74,0.04,0.42,0.23,0.11,0.15,0.44,0.15
17009,Brown County, Illinois,4753,15.51,6.61,5.01,3.35,4.59,9.11,1.47,4.40,0.54,0.68,0.31,0.64,0.07,0.35,0.50
17011,Bureau County, Illinois,32755,13.41,6.10,4.08,1.92,4.46,7.01,2.16,4.38,0.30,0.20,0.28,0.36,0.26,0.34,0.29
17013,Calhoun County, Illinois,4750,22.08,11.31,6.93,4.55,8.61,13.37,4.59,7.75,0.85,0.87,0.91,0.94,0.92,0.90,0.90
17015,Carroll County, Illinois,14182,13.86,6.57,4.56,2.48,4.45,6.73,2.66,4.83,0.42,0.41,0.28,0.31,0.46,0.45,0.34
17017,Cass County, Illinois,12358,12.97,6.01,4.53,1.65,4.80,7.37,3.10,4.60,0.41,0.12,0.36,0.41,0.62,0.41,0.26
17019,Champaign County, Illinois,208115,8.96,3.84,2.50,1.52,3.11,4.61,1.56,3.23,0.04,0.08,0.07,0.07,0.09,0.11,0.03
17021,Christian County, Illinois,31256,13.15,6.08,4.14,1.96,3.93,7.33,2.45,4.94,0.31,0.22,0.19,0.40,0.38,0.48,0.27
17023,Clark County, Illinois,15505,17.12,7.29,6.77,2.13,6.24,8.28,2.71,4.82,0.83,0.28,0.66,0.54,0.48,0.45,0.65
17025,Clay County, Illinois,13119,19.64,10.36,6.43,3.75,6.69,11.22,4.65,6.78,0.79,0.77,0.73,0.84,0.92,0.80,0.80
17027,Clinton County, Illinois,35508,14.26,7.71,5.12,3.04,5.16,7.44,3.01,5.00,0.56,0.60,0.44,0.42,0.60,0.49,0.38
17029,Coles County, Illinois,50657,15.40,7.16,4.14,2.20,5.83,7.74,2.88,5.66,0.31,0.31,0.59,0.46,0.55,0.63,0.49
17031,Cook County, Illinois,5151562,10.21,5.08,2.37,2.08,3.56,5.72,2.26,4.09,0.03,0.26,0.12,0.18,0.31,0.27,0.08
17033,Crawford County, Illinois,16659,17.83,8.34,6.62,2.94,5.89,8.69,3.42,5.47,0.81,0.56,0.60,0.59,0.72,0.59,0.70
17035,Cumberland County, Illinois,10711,16.44,6.81,7.35,2.24,4.31,7.85,3.17,4.43,0.89,0.32,0.26,0.48,0.65,0.35,0.59
17037,DeKalb County, Illinois,103654,10.49,4.74,2.58,1.76,4.69,4.65,1.86,3.51,0.04,0.14,0.33,0.07,0.16,0.16,0.09
17039,De Witt County, Illinois,15649,12.95,5.56,3.57,1.39,4.54,6.40,2.36,3.85,0.18,0.05,0.30,0.26,0.34,0.23,0.25
17041,Douglas County, Illinois,19464,11.57,5.23,3.49,1.55,3.51,6.59,2.17,3.77,0.17,0.08,0.12,0.29,0.27,0.21,0.15
17043,DuPage County, Illinois,923090,8.04,3.66,2.35,1.36,2.75,3.90,1.71,3.09,0.03,0.05,0.04,0.03,0.12,0.09,0.02
17045,Edgar County, Illinois,17119,16.92,7.16,5.77,1.52,5.30,9.02,3.41,5.02,0.69,0.08,0.48,0.63,0.72,0.50,0.63
17047,Edwards County, Illinois,6428,16.15,5.60,6.35,1.87,5.10,8.11,2.27,4.56,0.78,0.18,0.43,0.52,0.31,0.40,0.57
17049,Effingham County, Illinois,33733,13.47,6.34,4.48,2.34,4.94,6.51,2.14,4.54,0.40,0.36,0.40,0.27,0.25,0.39,0.30
17051,Fayette County, Illinois,19948,17.68,9.62,7.20,5.48,5.88,9.23,4.20,6.14,0.88,0.94,0.60,0.65,0.87,0.71,0.69
17053,Ford County, Illinois,12872,15.20,6.70,5.15,1.25,4.92,7.69,2.36,4.60,0.57,0.03,0.39,0.46,0.35,0.41,0.47
17055,Franklin County, Illinois,38438,20.90,10.69,6.00,3.44,7.67,11.64,3.80,7.29,0.73,0.70,0.86,0.87,0.81,0.86,0.86
17057,Fulton County, Illinois,32562,14.35,6.18,5.63,2.67,4.40,6.99,2.49,4.54,0.67,0.48,0.27,0.35,0.40,0.39,0.39
17059,Gallatin County, Illinois,5064,22.99,10.80,8.69,3.65,8.61,12.60,3.67,8.31,0.96,0.75,0.91,0.91,0.78,0.93,0.93
17061,Greene County, Illinois,12849,15.57,7.37,3.80,2.51,4.97,9.29,2.89,6.02,0.23,0.42,0.40,0.66,0.56,0.70,0.51
17063,Grundy County, Illinois,50343,9.05,4.58,2.28,1.61,2.98,5.12,2.68,3.82,0.02,0.10,0.06,0.11,0.47,0.22,0.04
17065,Hamilton County, Illinois,8100,21.30,10.58,9.14,3.68,6.85,11.16,3.93,6.12,0.97,0.75,0.76,0.84,0.83,0.71,0.88
17067,Hancock County, Illinois,17784,14.67,6.04,5.07,1.83,4.77,6.87,2.30,3.96,0.55,0.17,0.35,0.33,0.32,0.25,0.42
17069,Hardin County, Illinois,3841,24.94,14.29,11.92,3.05,10.54,12.13,4.40,9.74,1.00,0.60,0.98,0.89,0.90,0.98,0.96
17071,Henderson County, Illinois,6754,16.11,6.22,8.14,2.71,4.04,6.93,1.57,3.45,0.93,0.50,0.21,0.34,0.09,0.15,0.56
17073,Henry County, Illinois,48549,12.76,6.56,3.91,1.91,5.24,5.73,1.76,5.39,0.26,0.19,0.46,0.18,0.14,0.58,0.24
17075,Iroquois County, Illinois,27382,15.86,7.69,4.89,2.30,4.75,8.65,2.64,6.34,0.51,0.34,0.35,0.59,0.46,0.74,0.54
17077,Jackson County, Illinois,57450,14.82,8.25,4.10,3.26,6.84,8.02,3.35,5.68,0.30,0.66,0.76,0.50,0.70,0.64,0.43
17079,Jasper County, Illinois,9532,20.47,10.89,7.45,3.32,8.31,11.38,5.18,8.08,0.90,0.67,0.90,0.85,0.96,0.92,0.85
17081,Jefferson County, Illinois,35639,18.77,8.94,6.59,4.40,7.04,9.80,2.98,5.75,0.81,0.85,0.78,0.72,0.59,0.64,0.76
17083,Jersey County, Illinois,21588,14.19,7.43,3.95,2.71,4.60,8.19,2.56,5.54,0.27,0.50,0.31,0.53,0.43,0.61,0.37
17085,Jo Daviess County, Illinois,21432,14.10,6.10,4.94,2.37,3.20,7.40,2.43,3.90,0.52,0.37,0.08,0.41,0.37,0.24,0.36
17087,Johnson County, Illinois,10217,16.39,7.83,5.17,2.15,4.27,10.71,2.80,5.76,0.57,0.29,0.25,0.80,0.53,0.65,0.59
17089,Kane County, Illinois,528072,8.63,4.09,2.19,1.45,3.18,4.37,1.74,3.13,0.02,0.06,0.08,0.05,0.13,0.10,0.03
17091,Kankakee County, Illinois,108580,13.34,7.50,3.17,1.98,5.20,7.41,3.84,5.76,0.11,0.23,0.45,0.41,0.82,0.65,0.29
17093,Kendall County, Illinois,125714,7.62,3.39,2.34,1.27,2.48,3.52,1.08,2.67,0.03,0.04,0.03,0.02,0.03,0.05,0.01
17095,Knox County, Illinois,47703,15.92,8.87,4.78,2.63,6.92,6.67,2.28,7.15,0.48,0.47,0.77,0.30,0.31,0.85,0.55
17097,Lake County, Illinois,685292,9.12,4.14,2.60,1.65,3.22,4.37,1.80,3.23,0.04,0.12,0.08,0.05,0.15,0.11,0.04
17099,LaSalle County, Illinois,106541,13.62,6.22,4.06,2.02,4.52,7.26,2.32,4.54,0.29,0.24,0.30,0.39,0.33,0.39,0.32
17101,Lawrence County, Illinois,13675,21.22,10.15,7.25,4.11,8.44,11.93,3.77,5.85,0.88,0.82,0.91,0.88,0.80,0.66,0.88
17103,Lee County, Illinois,31305,15.49,7.64,5.26,2.53,5.54,7.47,2.62,5.53,0.59,0.43,0.53,0.42,0.45,0.60,0.50
17105,Livingston County, Illinois,33887,15.45,8.16,4.55,2.51,5.14,8.53,3.98,5.54,0.42,0.42,0.44,0.57,0.84,0.61,0.50
17107,Logan County, Illinois,25735,15.22,6.63,4.59,2.98,5.98,7.19,2.31,4.26,0.43,0.58,0.62,0.38,0.33,0.31,0.47
